Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Julio Rodriguez,SEA,OF,25,160,652,106,174,31,4,32,95,30,6,44,152,0,2,12,.267,.324,.474,.798
Francisco Lindor,NYM,SS,32,160,644,117,172,35,0,31,86,31,6,65,131,0,7,16,.267,.346,.466,.812
Elly De La Cruz,CIN,SS,24,162,629,102,166,31,7,22,86,37,8,67,181,0,1,2,.264,.336,.440,.776
Brent Rooker,ATH,OF,31,162,626,92,164,40,3,30,89,6,1,65,155,0,2,5,.262,.335,.479,.814
Steven Kwan,CLE,OF,28,156,625,81,170,29,1,11,56,21,5,55,60,3,7,3,.272,.330,.374,.704
Pete Alonso,NYM,1B,31,162,624,87,170,41,1,38,126,1,2,61,162,0,9,15,.272,.347,.524,.871
Matt Olson,ATL,1B,31,162,624,98,170,41,2,29,95,1,0,91,176,0,5,4,.272,.366,.484,.850
Bobby Witt,KC,SS,25,157,623,99,184,47,6,23,88,38,9,49,125,0,7,8,.295,.351,.501,.852
Vinnie Pasquantino,KC,1B,28,160,621,72,164,33,1,32,113,1,0,49,107,0,5,7,.264,.323,.475,.798
Jarren Duran,BOS,OF,29,157,620,86,159,41,13,16,84,24,6,60,169,1,3,12,.256,.332,.442,.774
Luis Arraez,SD,1B,28,154,620,66,181,30,4,8,61,11,4,34,21,12,7,2,.292,.327,.392,.719
Heliot Ramos,SF,OF,26,157,620,85,159,24,1,21,69,6,4,52,158,0,6,17,.256,.328,.400,.728
Manny Machado,SD,3B,33,159,615,91,169,33,0,27,95,14,3,55,131,0,5,3,.275,.335,.460,.795
Randy Arozarena,SEA,OF,31,160,613,95,146,32,1,27,76,31,6,64,191,0,5,27,.238,.334,.426,.760
Trevor Story,BOS,SS,33,157,612,91,161,29,0,25,96,31,1,33,176,1,1,7,.263,.308,.433,.741
Shohei Ohtani,LAD,DH,31,158,611,146,172,25,9,55,102,20,6,109,187,0,2,3,.282,.392,.622,1.014
Michael Harris,ATL,OF,25,160,611,55,152,26,6,20,86,20,6,16,128,4,7,3,.249,.268,.409,.677
Kyle Schwarber,PHI,DH,33,162,604,111,145,23,2,56,132,10,2,108,197,0,1,11,.240,.365,.563,.928
Ozzie Albies,ATL,2B,29,157,603,74,145,23,2,16,74,14,3,55,94,0,5,4,.240,.306,.365,.671
Junior Caminero,TB,3B,22,154,602,93,159,28,0,45,110,7,1,41,125,0,7,3,.264,.311,.535,.846
Riley Greene,DET,OF,25,157,600,84,155,31,1,36,111,2,1,46,201,0,5,4,.258,.313,.493,.806
Nico Hoerner,CHC,2B,28,156,599,89,178,29,4,7,61,29,6,39,49,0,4,7,.297,.345,.394,.739
James Wood,WSH,OF,23,157,598,87,153,38,0,31,94,15,7,85,221,0,3,3,.256,.350,.475,.825
Geraldo Perdomo,ARI,SS,26,161,597,98,173,33,5,20,100,27,6,94,83,8,11,10,.290,.389,.462,.851
Salvador Perez,KC,C,35,155,597,54,141,35,0,30,100,0,0,28,125,0,1,12,.236,.284,.446,.730
Cal Raleigh,SEA,C,29,159,596,110,147,24,0,60,125,14,4,97,188,0,3,9,.247,.359,.589,.948
Maikel Garcia,KC,3B,26,160,595,81,170,39,5,16,74,23,9,62,84,3,5,1,.286,.351,.449,.800
Fernando Tatis,SD,OF,27,155,594,111,159,27,2,25,71,32,7,89,129,0,2,6,.268,.368,.446,.814
Jose Ramirez,CLE,3B,33,158,593,103,168,34,3,30,85,44,7,66,74,0,5,8,.283,.360,.503,.863
Willy Adames,SF,SS,30,160,591,94,133,22,2,30,87,12,4,80,179,0,9,5,.225,.318,.421,.739
Pete Crow-Armstrong,CHC,OF,23,157,591,91,146,37,4,31,95,35,8,29,155,6,12,9,.247,.287,.481,.768
Dansby Swanson,CHC,SS,32,159,590,84,144,24,3,24,77,20,3,47,168,1,5,2,.244,.300,.417,.717
